,Tipo Conexión,Tipo Carga,Tipo Corriente,Provincia
0,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
1,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
2,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
3,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
4,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
5,Schuko,ND 0kW,AC,Barcelona
6,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
7,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
8,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
9,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
10,MENNEKES.M,Carga Rápida (DC),AC,Gerona
11,CCS Combo2,Carga Ultrarrápida (DC),DC,Barcelona
12,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
13,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
14,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
15,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
16,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
17,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
18,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
19,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
20,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
21,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
22,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
23,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
24,MENNEKES.F+Schuko,ND 0kW,AC/DC,Barcelona
25,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
26,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
27,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
28,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
29,CCS Combo2,Carga Ultrarrápida (DC),DC,Barcelona
30,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
31,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
32,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
33,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
34,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
35,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
36,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
37,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
38,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
39,CCS Combo2+ChadeMO+MENNEKES.M,ND 0kW,AC/DC,Barcelona
40,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
41,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
42,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
43,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
44,MENNEKES.M+Schuko,Carga Semirrápida (AC),AC,Barcelona
45,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
46,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
47,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
48,MENNEKES.F+Schuko,ND 0kW,AC/DC,Tarragona
49,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
50,CCS Combo2,Carga Ultrarrápida (DC),DC,Barcelona
51,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
52,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
53,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
54,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
55,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
56,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
57,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
58,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
59,MENNEKES.F,ND 0kW,AC/DC,Barcelona
60,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
61,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
62,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
63,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
64,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
65,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
66,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
67,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
68,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
69,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
70,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
71,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
72,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
73,CCS Combo2,Carga Rápida (DC),DC,Barcelona
74,CCS Combo2,Carga Rápida (DC),DC,Barcelona
75,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
76,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
77,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
78,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
79,MENNEKES.M,Carga Lenta (AC),AC,Tarragona
80,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
81,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
82,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
83,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
84,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
85,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
86,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
87,CCS Combo2,Carga Ultrarrápida (DC),DC,Barcelona
88,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
89,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Lérida
90,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
91,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
92,MENNEKES.M,Carga Semirrápida (AC),AC,Lérida
93,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
94,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
95,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
96,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
97,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
98,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
99,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
100,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
101,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
102,MENNEKES.M,Carga Rápida (DC),AC,Barcelona
103,CCS Combo2,Carga Rápida (DC),DC,Lérida
104,MENNEKES.M+Schuko,Carga Lenta (AC),AC,Barcelona
105,TESLA,ND 0kW,AC,Barcelona
106,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
107,CCS Combo2+ChadeMO,Carga Rápida (DC),DC,Barcelona
108,CCS Combo2+ChadeMO+MENNEKES.M+Schuko,Carga Rápida (DC),AC/DC,Barcelona
109,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
110,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
111,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
112,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
113,MENNEKES.M,Carga Semirrápida (AC),AC,Tarragona
114,MENNEKES.M,Carga Rápida (DC),AC,Tarragona
115,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
116,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Barcelona
117,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Gerona
118,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
119,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
120,MENNEKES.M,Carga Semirrápida (AC),AC,Gerona
121,CCS Combo2+ChadeMO+MENNEKES.M,Carga Rápida (DC),AC/DC,Tarragona
122,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
123,MENNEKES.M,Carga Semirrápida (AC),AC,Barcelona
